iter	Logloss
0	0.6856307644
1	0.6784595604
2	0.6715708872
3	0.664797334
4	0.657944735
5	0.6513745047
6	0.6451566956
7	0.6392099976
8	0.63314762
9	0.6269953137
10	0.6210347661
11	0.615531892
12	0.6103354791
13	0.6050122888
14	0.5994596192
15	0.5943494534
16	0.5893807068
17	0.5847706268
18	0.580086618
19	0.5756152034
20	0.5713197623
21	0.5666596063
22	0.5622694394
23	0.5579834991
24	0.5536271666
25	0.549755067
26	0.5456958908
27	0.5417818868
28	0.5379978393
29	0.5340939445
30	0.5304873183
31	0.5270790892
32	0.5235833232
33	0.5202084985
34	0.5170272023
35	0.5139349921
36	0.5109273816
37	0.5079308526
38	0.5051451573
39	0.5020561297
40	0.4991985796
41	0.4963925702
42	0.493709337
43	0.4909325258
44	0.488203544
45	0.4855321792
46	0.4830824564
47	0.4806579768
48	0.4781928114
49	0.4759061711
50	0.4735842693
51	0.4713684177
52	0.4693360145
53	0.4672402392
54	0.4651313759
55	0.4631117858
56	0.4611688666
57	0.4590716932
58	0.4573148081
59	0.4554988051
60	0.4536740421
61	0.4519851475
62	0.4502316357
63	0.4486661073
64	0.4468975532
65	0.4452013933
66	0.4437435677
67	0.4423526544
68	0.4408197489
69	0.439371371
70	0.4379555873
71	0.4366269382
72	0.4353227514
73	0.4339916141
74	0.4325138649
75	0.4312262328
76	0.4298306243
77	0.4286176687
78	0.4274869702
79	0.4262793569
80	0.4252555647
81	0.4240804144
82	0.4228639588
83	0.4217528285
84	0.4207063895
85	0.4197963176
86	0.4187824281
87	0.4177368432
88	0.4168269469
89	0.415821941
90	0.4148905877
91	0.4138857209
92	0.412921313
93	0.4120318358
94	0.4112048201
95	0.4103466194
96	0.4096064736
97	0.4088264424
98	0.408110661
99	0.4072552004
100	0.4066139137
101	0.4057591627
102	0.4051327506
103	0.4043778618
104	0.4037096006
105	0.4030573062
106	0.4024578727
107	0.4018415953
108	0.4011834554
109	0.4005291
110	0.3999081227
111	0.3993662449
112	0.3987735345
113	0.3981878712
114	0.3975986309
115	0.3970613296
116	0.3965747195
117	0.3960335793
118	0.3956093121
119	0.3950718978
120	0.3945305686
121	0.3940474808
122	0.3935426285
123	0.3930626104
124	0.3926928394
125	0.3922263373
126	0.3917206729
127	0.391338628
128	0.3908143391
129	0.3904256015
130	0.3901031992
131	0.3897877327
132	0.3894593346
133	0.3890971053
134	0.3888018272
135	0.3883663133
136	0.3880240201
137	0.3875912553
138	0.3872715993
139	0.3869617036
140	0.3866238346
141	0.386275459
142	0.3860291934
143	0.385695387
144	0.3854019979
145	0.3850659374
146	0.3847910074
147	0.3845708491
148	0.3842744225
149	0.3840023684
150	0.3837963841
151	0.3835247484
152	0.3833137422
153	0.3829685007
154	0.3827451002
155	0.3824666761
156	0.3822639124
157	0.3820647255
158	0.3818012313
159	0.3815939783
160	0.3813500417
161	0.3811206476
162	0.3808402318
163	0.3805873987
164	0.3804172403
165	0.3802305777
166	0.3800066442
167	0.3798320272
168	0.3796312472
169	0.3794082136
170	0.3792448597
171	0.3790617452
172	0.3789357599
173	0.3788124166
174	0.3786008715
175	0.3784507696
176	0.3783307974
177	0.3781022263
178	0.3778996196
179	0.3777863112
180	0.3776806644
181	0.3774996629
182	0.3773195063
183	0.3771460765
184	0.3769422298
185	0.3767845529
186	0.3766922599
187	0.3764942275
188	0.3763157275
189	0.3762140599
190	0.3760396403
191	0.375825907
192	0.3757279351
193	0.3756490899
194	0.3755718817
195	0.375496276
196	0.3753166782
197	0.3752435895
198	0.3750534657
199	0.3749196381
