iter	Passed	Remaining
0	159	31678
1	232	22980
2	295	19402
3	372	18234
4	446	17398
5	512	16575
6	574	15842
7	598	14359
8	659	13987
9	723	13738
10	791	13593
11	836	13103
12	854	12294
13	923	12272
14	985	12157
15	1032	11875
16	1099	11834
17	1127	11401
18	1208	11514
19	1239	11154
20	1266	10793
21	1306	10573
22	1350	10394
23	1427	10468
24	1502	10517
25	1522	10190
26	1607	10302
27	1727	10609
28	1769	10431
29	1857	10524
30	1944	10598
31	1989	10442
32	2049	10372
33	2113	10317
34	2175	10254
35	2214	10089
36	2243	9883
37	2289	9760
38	2302	9506
39	2359	9437
40	2400	9307
41	2457	9245
42	2492	9099
43	2560	9078
44	2625	9044
45	2682	8981
46	2725	8870
47	2770	8771
48	2822	8699
49	2844	8532
50	2876	8403
51	2929	8336
52	2982	8272
53	3038	8215
54	3093	8155
55	3159	8123
56	3213	8062
57	3270	8008
58	3288	7858
59	3319	7745
60	3355	7646
61	3399	7565
62	3442	7485
63	3458	7348
64	3502	7273
65	3562	7232
66	3601	7148
67	3622	7032
68	3663	6955
69	3703	6878
70	3767	6845
71	3804	6764
72	3846	6691
73	3894	6630
74	3950	6584
75	4003	6532
76	4059	6484
77	4113	6433
78	4179	6401
79	4222	6333
80	4236	6223
81	4285	6166
82	4344	6124
83	4397	6072
84	4450	6021
85	4464	5917
86	4516	5866
87	4567	5813
88	4632	5777
89	4695	5738
90	4741	5679
91	4793	5627
92	4870	5603
93	4924	5553
94	4978	5502
95	5028	5447
96	5060	5373
97	5098	5306
98	5167	5272
99	5249	5249
100	5266	5162
101	5327	5118
102	5374	5061
103	5428	5010
104	5468	4947
105	5520	4895
106	5557	4830
107	5596	4767
108	5656	4722
109	5716	4677
110	5789	4642
111	5837	4586
112	5905	4546
113	5957	4494
114	6020	4449
115	6082	4404
116	6125	4345
117	6199	4308
118	6221	4234
119	6294	4196
120	6359	4152
121	6406	4095
122	6457	4042
123	6513	3992
124	6529	3917
125	6619	3887
126	6701	3852
127	6749	3796
128	6828	3758
129	6899	3714
130	6922	3646
131	6939	3575
132	6997	3525
133	7047	3471
134	7067	3402
135	7128	3354
136	7182	3302
137	7292	3276
138	7354	3227
139	7415	3177
140	7463	3122
141	7538	3079
142	7557	3012
143	7622	2964
144	7665	2907
145	7714	2853
146	7764	2799
147	7780	2733
148	7827	2679
149	7860	2620
150	7881	2557
151	7933	2505
152	7981	2451
153	8041	2402
154	8069	2342
155	8132	2293
156	8185	2241
157	8226	2186
158	8269	2132
159	8330	2082
160	8398	2034
161	8479	1988
162	8545	1939
163	8625	1893
164	8649	1834
165	8694	1780
166	8755	1730
167	8789	1674
168	8840	1621
169	8910	1572
170	8968	1521
171	9012	1467
172	9032	1409
173	9051	1352
174	9105	1300
175	9134	1245
176	9158	1190
177	9230	1140
178	9288	1089
179	9346	1038
180	9360	982
181	9427	932
182	9504	882
183	9561	831
184	9630	780
185	9713	731
186	9733	676
187	9812	626
188	9887	575
189	9916	521
190	9987	470
191	10054	418
192	10083	365
193	10106	312
194	10122	259
195	10136	206
196	10187	155
197	10210	103
198	10275	51
199	10338	0
